index,roomname,region,vanillaitemname,roomid,locationid,hiddenness,altlocationids
0,Crater Missile,SZM,Item,310000,310000,open,31002C
71,Crater Power Bomb,SZM,Item,310012,310012,chozo,310026
72,Gauntlet Power Bomb,SZM,Item,31005A,31005A,open,0
64,Speed Super,SZM,Item,310222,310222,open,0
134,Speed Booster,SZM,Item,310228,310228,chozo,0
7,Outside Bombs Missile,SZM,Item,31023E,31023E,open,0
2,Varia Grapple Block Missile,SZM,Item,310248,310248,hidden,0
97,Brinstar Basement Energy Tank,SZM,Item,310264,310264,open,0
3,Back of Gauntlet Left Missile,SZM,Item,3103D0,3103D0,open,0
4,Back of Gauntlet Right Missile,SZM,Item,3103D6,3103D6,open,0
129,Bomb Torizo,SZM,Item,310404,310404,open,0
98,White Lava Energy Tank,SZM,Item,310432,310432,open,0
5,Beetom Spark Top Missile,SZM,Item,310464,310464,open,0
6,Beetom Spark Bottom Missile,SZM,Item,31046A,31046A,open,0
13,Alpha Missile,SZM,Item,310478,310478,open,0
73,Etecoons,SZM,Item,3104AC,3104AC,chozo,0
50,Spore Spawn Super,SZM,Item,3104E4,3104E4,chozo,0
46,Early Super,SZM,Item,31050C,31050C,open,0
47,Flooded Cavern Gate Super,SZM,Item,310512,310512,open,0
99,Early Super Energy,SZM,Item,310518,310518,open,0
125,Kraid Reserve Tank,SZM,Item,31052C,31052C,chozo,0
48,Kraid Reserve Super,SZM,Item,310538,310538,open,0
9,Kraid Lonely Missile,SZM,Item,310550,310550,hidden,0
74,Mini Kraid Power Bomb,SZM,Item,310588,310588,open,0
10,Kraid Inverted Chozo Missile,SZM,Item,310608,310608,open,0
11,Kraid Lower Retro Pillar Missile,SZM,Item,310634,310634,hidden,0
136,Grapple Beam,SZM,Item,31065C,31065C,open,0
12,Kraid Eagle Missile,SZM,Item,310676,310676,open,0
101,Terminator,SZM,Item,31079E,31079E,open,0
51,Kraid Green Hopper Super,SZM,Item,3107A6,3107A6,open,0
102,Kraid Mockball Gate Energy Tank,SZM,Item,3107C2,3107C2,open,0
133,Varia Suit,SZM,Item,3107D0,3107D0,chozo,0
144,All Bosses Missile,SZM,Item,3107D8,3107D8,open,0
14,Forget-Me-Not Missile,SZM,Item,310802,310802,hidden,0
39,Kraid Spark Out Missile,SZM,Item,310816,310816,open,0
15,Kraid Upper Retro Pillar Missile,SZM,Item,310824,310824,open,0
75,White Lava Power Bomb,SZM,Item,31084C,31084C,open,0
105,Kraid Right Shaft Energy Tank,SZM,Item,310860,310860,open,0
55,Kraid Left Shaft Super,SZM,Item,310876,310876,chozo,0
18,Kraid Pink Spark Wall Missile,SZM,Item,3108CA,3108CA,open,0
56,Kraid Pillar Secret Super,SZM,Item,31096E,31096E,open,0
107,Above Kraid Energy Tank,SZM,Item,3109FA,3109FA,hidden,0
57,LN Pink Multispark Super Missile,SZM,Item,310AB2,310AB2,open,0
21,LN Pink Multispark Chozo Missile,SZM,Item,310ABE,310ABE,open,0
81,LN Save Crumble Power Bomb,SZM,Item,310ACA,310ACA,open,0
108,Norfair Entrance Energy Tank,SZM,Item,310AFA,310AFA,hidden,310C04
60,Crocomire Super,SZM,Item,310B00,310B00,open,0
24,Norfair Lava Dive Missile,SZM,Item,310B24,310B24,hidden,0
80,Norfair Top Power Bomb,SZM,Item,310B38,310B38,open,0
61,Bubble Crumble Super,SZM,Item,310B90,310B90,open,0
132,HiJump,SZM,Item,310BAC,310BAC,chozo,0
62,Norfair Big Cavern Super,SZM,Item,310BC0,310BC0,open,0
28,Norfair Top Grapple Missile,SZM,Item,310C22,310C22,open,0
29,LN Pink Wall Speed Missile,SZM,Item,310C2A,310C2A,hidden,0
110,White Crag Chozo Energy Tank,SZM,Item,310C3E,310C3E,open,0
16,White Wall Missile,SZM,Item,310C44,310C44,hidden,0
67,LN Entry Spark Behind Super,SZM,Item,310C74,310C74,open,0
114,LN Entry Spark Energy,SZM,Item,310C7A,310C7A,open,0
25,Norfair Above Lava Dive Missile,SZM,Item,310C9C,310C9C,open,0
77,Norfair Lava Dive Power Bomb,SZM,Item,310CA8,310CA8,open,0
66,Norfair Double Chozo Maze Super,SZM,Item,310CD4,310CD4,open,0
76,Norfair Background Maze Power Bomb,SZM,Item,310D5E,310D5E,hidden,0
23,Norfair Drapes Missile,SZM,Item,310D6A,310D6A,open,0
27,Norfair Background Maze Missile,SZM,Item,310D70,310D70,open,0
137,Wave Beam,SZM,Item,310D76,310D76,chozo,0
